127.0.0.1, 2014-11-01 22:49:30, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.001236
127.0.0.1, 2014-11-01 22:49:30, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.000674
127.0.0.1, 2014-11-01 22:49:30, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.001529
127.0.0.1, 2014-11-01 22:49:31, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2014-11-01 22:49:32, POST, /admin/default/check_version, HTTP/1.1, 200, 1.609436
127.0.0.1, 2014-11-01 22:52:19, POST, /admin/default/site, HTTP/1.1, 303, 0.053357
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.295120
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 304, 0.000540
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000423
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 304, 0.001087
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.000906
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.002112
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.000740
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000863
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001292
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001103
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001090
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 304, 0.000488
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000982
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000269
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000293
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000822
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000987
127.0.0.1, 2014-11-01 22:52:20, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001450
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.068164
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 304, 0.000272
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 304, 0.000731
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000408
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.000493
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 304, 0.002396
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.002172
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001495
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001334
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000551
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002264
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000313
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000779
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000381
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000411
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000418
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000448
127.0.0.1, 2014-11-01 22:53:08, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.001040
127.0.0.1, 2014-11-01 22:56:48, GET, /hello, HTTP/1.1, 200, 0.049883
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001183
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/css/web2py.css, HTTP/1.1, 200, 0.000925
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/css/calendar.css, HTTP/1.1, 200, 0.001081
